Customer Id,Geography Id,Customer Alternate Id,Title,First Name,Middle Name,Last Name,Name Style,Birth Date,Suffix,Gender,Email Address,Yearly Income,Total Children,Number of Children At Home,Education,Occupation,Owns House,Number of Cars Owned,Address Line 1,Address Line 2,Date of First Purchase,Commute Distance,Marital Status,Phone Number
11000,26,AW00011000,,Jon,V,Yang,FALSE,1971-10-06 00:00,,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,,2011-01-19 00:00,1-2 Miles,M,1 (11) 500 555-0162
11001,37,AW00011001,,Eugene,L,Huang,FALSE,1976-05-10 00:00,,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,2243 W St.,,2011-01-15 00:00,0-1 Miles,S,1 (11) 500 555-0110
11002,31,AW00011002,,Ruben,,Torres,FALSE,1971-02-09 00:00,,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,,2011-01-07 00:00,2-5 Miles,M,1 (11) 500 555-0184
11003,11,AW00011003,,Christy,,Zhu,FALSE,1973-08-14 00:00,,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,,2010-12-29 00:00,5-10 Miles,S,1 (11) 500 555-0162
11004,19,AW00011004,,Elizabeth,,Johnson,FALSE,1979-08-05 00:00,,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,,2011-01-23 00:00,1-2 Miles,S,1 (11) 500 555-0131
11005,22,AW00011005,,Julio,,Ruiz,FALSE,1976-08-01 00:00,,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,,2010-12-30 00:00,5-10 Miles,S,1 (11) 500 555-0151
11006,8,AW00011006,,Janet,G,Alvarez,FALSE,1976-12-02 00:00,,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,,2011-01-24 00:00,5-10 Miles,S,1 (11) 500 555-0184
11007,40,AW00011007,,Marco,,Mehta,FALSE,1969-11-06 00:00,,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,,2011-01-09 00:00,0-1 Miles,M,1 (11) 500 555-0126
11008,32,AW00011008,,Rob,,Verhoff,FALSE,1975-07-04 00:00,,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,,2011-01-25 00:00,10+ Miles,S,1 (11) 500 555-0164
11009,25,AW00011009,,Shannon,C,Carlson,FALSE,1969-09-29 00:00,,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,,2011-01-27 00:00,5-10 Miles,S,1 (11) 500 555-0110
11010,22,AW00011010,,Jacquelyn,C,Suarez,FALSE,1969-08-05 00:00,,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,,2011-01-14 00:00,5-10 Miles,S,1 (11) 500 555-0169
11011,22,AW00011011,,Curtis,,Lu,FALSE,1969-05-03 00:00,,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,,2010-12-30 00:00,10+ Miles,M,1 (11) 500 555-0117
11012,611,AW00011012,,Lauren,M,Walker,FALSE,1979-01-14 00:00,,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,,2013-03-16 00:00,1-2 Miles,M,717-555-0164
11013,543,AW00011013,,Ian,M,Jenkins,FALSE,1979-08-03 00:00,,M,ian47@adventure-works.com,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,,2013-04-13 00:00,0-1 Miles,M,817-555-0185
11014,634,AW00011014,,Sydney,,Bennett,FALSE,1973-11-06 00:00,,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,,2013-03-23 00:00,1-2 Miles,S,431-555-0156
11015,301,AW00011015,,Chloe,,Young,FALSE,1984-08-26 00:00,,F,chloe23@adventure-works.com,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,,2013-01-18 00:00,5-10 Miles,S,208-555-0142
11016,329,AW00011016,,Wyatt,L,Hill,FALSE,1984-10-25 00:00,,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,,2013-02-09 00:00,5-10 Miles,M,135-555-0171
11017,39,AW00011017,,Shannon,,Wang,FALSE,1949-12-24 00:00,,F,shannon1@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,,2011-01-12 00:00,5-10 Miles,S,1 (11) 500 555-0195
11018,32,AW00011018,,Clarence,D,Rai,FALSE,1955-10-06 00:00,,M,clarence32@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,,2011-01-17 00:00,5-10 Miles,S,1 (11) 500 555-0137
11019,52,AW00011019,,Luke,L,Lal,FALSE,1983-09-04 00:00,,M,luke18@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,,2013-02-12 00:00,5-10 Miles,S,262-555-0112
11020,53,AW00011020,,Jordan,C,King,FALSE,1984-03-19 00:00,,M,jordan73@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,,2012-12-29 00:00,1-2 Miles,S,550-555-0163
11021,536,AW00011021,,Destiny,,Wilson,FALSE,1984-03-02 00:00,,F,destiny7@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,,2013-01-23 00:00,1-2 Miles,S,622-555-0158
11022,609,AW00011022,,Ethan,G,Zhang,FALSE,1984-04-10 00:00,,M,ethan20@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,,2013-01-20 00:00,5-10 Miles,M,589-555-0185
11023,298,AW00011023,,Seth,M,Edwards,FALSE,1984-04-09 00:00,,M,seth46@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,,2013-02-17 00:00,1-2 Miles,M,452-555-0188
11024,311,AW00011024,,Russell,,Xie,FALSE,1984-03-16 00:00,,M,russell7@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,,2013-06-27 00:00,5-10 Miles,M,746-555-0186
11025,24,AW00011025,,Alejandro,,Beck,FALSE,1951-06-22 00:00,,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,,2011-01-06 00:00,1-2 Miles,M,1 (11) 500 555-0178
11026,4,AW00011026,,Harold,,Sai,FALSE,1951-10-01 00:00,,M,harold3@adventure-works.com,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,,2011-01-23 00:00,1-2 Miles,S,1 (11) 500 555-0131
11027,40,AW00011027,,Jessie,R,Zhao,FALSE,1952-06-05 00:00,,M,jessie16@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,,2011-01-16 00:00,5-10 Miles,M,1 (11) 500 555-0184
11028,17,AW00011028,,Jill,,Jimenez,FALSE,1951-10-09 00:00,,F,jill13@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,,2011-01-26 00:00,1-2 Miles,M,1 (11) 500 555-0116
11029,32,AW00011029,,Jimmy,L,Moreno,FALSE,1952-06-19 00:00,,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,,2011-01-19 00:00,1-2 Miles,M,1 (11) 500 555-0146
11030,28,AW00011030,,Bethany,G,Yuan,FALSE,1958-02-18 00:00,,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,,2011-02-05 00:00,1-2 Miles,M,1 (11) 500 555-0182
11031,8,AW00011031,,Theresa,G,Ramos,FALSE,1953-02-18 00:00,,F,theresa13@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,,2011-02-01 00:00,1-2 Miles,M,1 (11) 500 555-0195
11032,35,AW00011032,,Denise,,Stone,FALSE,1952-12-08 00:00,,F,denise10@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,,2011-02-18 00:00,1-2 Miles,M,1 (11) 500 555-0169
11033,9,AW00011033,,Jaime,,Nath,FALSE,1958-09-19 00:00,,M,jaime41@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,,2011-02-15 00:00,5-10 Miles,M,1 (11) 500 555-0137
11034,12,AW00011034,,Ebony,,Gonzalez,FALSE,1952-12-16 00:00,,F,ebony19@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,,2011-02-01 00:00,5-10 Miles,M,1 (11) 500 555-0136
11035,33,AW00011035,,Wendy,,Dominguez,FALSE,1953-08-23 00:00,,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,,2011-02-06 00:00,1-2 Miles,M,1 (11) 500 555-0177
11036,343,AW00011036,,Jennifer,C,Russell,FALSE,1984-06-16 00:00,,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,,2013-01-22 00:00,1-2 Miles,M,115-555-0183
11037,49,AW00011037,,Chloe,M,Garcia,FALSE,1983-05-27 00:00,,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,,2013-01-20 00:00,5-10 Miles,S,229-555-0112
11038,6,AW00011038,,Diana,F,Hernandez,FALSE,1953-09-20 00:00,,F,diana2@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,,2011-02-07 00:00,5-10 Miles,M,1 (11) 500 555-0114
11039,19,AW00011039,,Marc,J,Martin,FALSE,1954-06-16 00:00,,M,marc3@adventure-works.com,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,,2011-02-07 00:00,5-10 Miles,M,1 (11) 500 555-0183
11040,642,AW00011040,,Jesse,,Murphy,FALSE,1983-01-29 00:00,,M,jesse15@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,,2013-04-03 00:00,1-2 Miles,M,961-555-0176
11041,325,AW00011041,,Amanda,M,Carter,FALSE,1983-04-15 00:00,,F,amanda53@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,,2013-01-14 00:00,1-2 Miles,M,295-555-0145
11042,338,AW00011042,,Megan,J,Sanchez,FALSE,1982-12-11 00:00,,F,megan28@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,,2013-01-21 00:00,0-1 Miles,M,404-555-0199
11043,325,AW00011043,,Nathan,M,Simmons,FALSE,1981-08-23 00:00,,M,nathan11@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,,2013-05-08 00:00,5-10 Miles,M,296-555-0181
11044,25,AW00011044,,Adam,L,Flores,FALSE,1954-11-21 00:00,,M,adam10@adventure-works.com,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,,2011-02-28 00:00,1-2 Miles,M,1 (11) 500 555-0163
11045,8,AW00011045,,Leonard,G,Nara,FALSE,1955-11-16 00:00,,M,leonard18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,,2013-04-10 00:00,1-2 Miles,S,1 (11) 500 555-0151
